0,2014-10-03 21:27:57 -0500,"['/t/pdf', '/t/cogsci']",Do Deep Nets Really Need to be Deep?,http://arxiv.org/pdf/1312.6184v5.pdf,/u/jm,2
2,2014-10-03 08:35:48 -0500,['/t/science'],An Australian researcher has worked out how to store 1000TB on a CD,http://www.sciencealert.com.au/news/20140309-26116.html,/u/journeysquid,5
6,2014-10-02 20:19:36 -0500,['/t/ruby'],Rack 2~4% speed increase,https://github.com/rack/rack/pull/737,/u/jcs,11
0,2014-10-03 19:21:50 -0500,"['/t/programming', '/t/ruby']",Notes on “Counting Tree Nodes”,http://codon.com/notes-on-counting-tree-nodes,/u/pushcx,1
3,2014-10-02 20:02:53 -0500,"['/t/security', '/t/windows']","cmd.exe ""shellshock""",https://twitter.com/FioraAeterna/status/517791046835920897,/u/journeysquid,10
0,2014-10-03 13:49:51 -0500,"['/t/distributed', '/t/hardware']",Krste Asanović Keynote at FAST14,http://blog.dshr.org/2014/03/krste-asanovic-keynote-at-fast14.html,/u/mikemccracken,1
1,2014-10-02 16:44:36 -0500,"['/t/pdf', '/t/programming']",Attempting to write a formally verified PDF parser,http://spw14.langsec.org/papers/pdfparser-report.pdf,/u/pushcx,12
6,2014-10-02 12:16:41 -0500,"['/t/linux', '/t/security']",Fedora: Dash as default shell,https://lists.fedoraproject.org/pipermail/devel/2014-October/202876.html,/u/journeysquid,12
0,2014-10-02 21:05:10 -0500,"['/t/law', '/t/networking']","""Not"" Neutrality?",http://blog.level3.com/open-internet/not-neutrality/,/u/journeysquid,6
3,2014-10-02 13:41:51 -0500,"['/t/linux', '/t/security']",CVE-2014-7284 (NGRO Bug): Lack of randomness in Linux kernel network secrets,https://webcache.googleusercontent.com/search?q=cache:http://secondlookforensics.com/ngro-linux-kernel-bug/,/u/jcs,8
0,2014-10-02 14:34:18 -0500,['/t/programming'],Finger Trees: A Simple General-purpose Data Structure,http://www.soi.city.ac.uk/~ross/papers/FingerTree.html,/u/bitemyapp,10
0,2014-10-02 16:14:36 -0500,['/t/practices'],A beginners guide to writing documentation,http://docs.writethedocs.org/writing/beginners-guide-to-docs/,/u/jm,8
1,2014-10-02 13:58:27 -0500,['/t/programming'],Speeding Up R,http://dev.theladders.com/2014/10/speeding-up-r/,/u/SeanTAllen,8
0,2014-10-02 08:07:28 -0500,['/t/programming'],Clojure from the ground up: debugging,http://aphyr.com/posts/319-clojure-from-the-ground-up-debugging,/u/lcapaldo,15
0,2014-10-02 15:44:44 -0500,"['/t/video', '/t/api', '/t/assembly', '/t/c', '/t/compsci', '/t/philosophy', '/t/programming']","CppCon 2014: Mike Acton ""Data-Oriented Design and C++"" - YouTube",https://www.youtube.com/watch?v=rX0ItVEVjHc,/u/friendlysock,5
0,2014-10-02 08:19:20 -0500,['/t/openbsd'],A Sneak Peek at the Upcoming OpenBSD 5.6 Release,http://lteo.net/blog/2014/10/01/a-sneak-peek-at-the-upcoming-openbsd-5-dot-6-release/,/u/kyle,10
0,2014-10-02 19:33:19 -0500,"['/t/devops', '/t/java', '/t/linux', '/t/release']",KeyBox: Web-based SSH for OpenShift,https://github.com/skavanagh/KeyBox-OpenShift,/u/skavanagh,2
0,2014-10-02 06:45:08 -0500,['/t/windows'],Windows 10 Technical Preview,http://windows.microsoft.com/en-us/windows/preview,/u/calvin,9
0,2014-10-02 13:18:39 -0500,"['/t/haskell', '/t/programming']",Implementing highly efficient data structures with Monoids and Fingertrees,https://www.codementor.io/haskell-tutorial/monoids-fingertrees-implement-abstract-data,/u/bitemyapp,4
0,2014-10-02 21:06:50 -0500,"['/t/hardware', '/t/security']",BadUSB Has Been Released,http://www.wired.com/2014/10/code-published-for-unfixable-usb-attack/,/u/journeysquid,1
0,2014-10-02 20:03:42 -0500,"['/t/databases', '/t/hardware']","MemSQL Does Oracle's Own Demo Ten Times As Fast, Sixty Times Cheaper",http://blog.memsql.com/memsql-does-oracles-own-demo-ten-times-as-fast-sixty-times-cheaper/,/u/journeysquid,1
1,2014-10-02 00:46:41 -0500,['/t/linux'],xfs directory hash ordering bug,http://marc.info/?l=oss-security&m=141220117130282&w=2,/u/tedu,5
5,2014-10-01 07:59:51 -0500,['/t/release'],Who Is Your Type System For?,http://lionelbarrow.com/2014/09/27/who-is-your-type-system-for/,/u/kGb8RNFtg6,19
0,2014-10-02 11:30:03 -0500,"['/t/programming', '/t/windows']","Lies, Damn Lies and Version Numbers",http://developer.telerik.com/featured/lies-damn-lies-version-numbers/,/u/remotesynth,1
0,2014-10-02 08:53:23 -0500,"['/t/games', '/t/java', '/t/mobile']",bladecoder-adventure-engine - Classic point and click adventure game engine and editor [libGDX],https://github.com/bladecoder/bladecoder-adventure-engine,/u/walle,1
